,index,event,target,cleantarget,perpetrator,perpgender,gendersquash,cleandiscipline,itype,cleantarget_new,perpetrator_new,cleandiscipline_new
108,514,Male grad student with a teaching assistantship treated his position like his own personal Tinder account. He slept with multiple female students while in charge of their grades. ,PhD Candidate,Phd Candidate,PhD Candidate.,Male,Male,History,Research Institute,Graduate Student,Graduate Student,Humanities
109,1086,"Full prof in another department harassed me while I was untenured. The ABSOLUTE worst of his harassing behaviors was when he paced outside my classroom door while I was teaching and stared in at me.  He would also bound into my office hours and interrupt conversations I was having with students as a bullying tactic; he would stand and hover over us as if to say, ""I'm here, I'm dominant; this young female professor is not.""  It made several of the female students visibly upset/uncomfortable and it clearly enraged me.  He frequently sent me unsolicited emails until I eventually directed all of his emails to go to spam. He  would also ""pop in"" unannounced to my office when I was alone and attempt to explain my own academic field to me (and of which he knew nothing).  Even when I told him he was full of shit (and I directly told him this), he wouldn't shut up or leave me alone.  ",Tenure track,Tenure Track,Full professor,Male,Male,History,Research Institute,Faculty,Faculty,Humanities
110,762,"Whenever he had a few drinks at a department/University/conference event, my advisor would hug me much closer/tighter than usual (and hugs were very infrequent, one of the few other examples of a hugging occasion was when my mother was diagnosed with cancer). On a few of these occasions, his hands would move down my back and onto my ass. He is a very tall man and I'm of average height. For his hands to end up there just cannot be by accident. ",Ph.D. student and Ph.D. candidate,Ph.D. student and Ph.D. candidate,Ph.D. advisor,Male,Male,Religion,Research Institute,Graduate Student,Graduate Student,Humanities
111,2264,"1. Undergraduate Student Experience:  Theology Doctoral Student tried to rape me at a private religious university.  He continued to stalk me and call me and leave creepy notes for me saying he would find me and was watching me.  I reported the incident to the university.  For punishment, he got sent to S. Korea to teach English to young girls for 2 years before he was allowed to come back to the university and finish his Theology Doctoral Degree.  It was otherwise, dismissed.  2.  As faculty, the Associate Dean came directly in my office after my divorce to tell me a story about him and another woman he had a threesome with and how wonderful it was to all the parties involved.  I kicked him out of my office- as Assistant Professor and made an official complaint.  Since then, it took ten women to file similar complaints and he finally got demoted, but is still tenured prof at that university. 3.  Too many instances to list.... it would take all day.","Undergrad, Grad, and also as Faculty/Assistant Prof to Associate Prof","Undergrad, Grad, and also as Faculty/Assistant Prof to Associate Prof","I have had Assoc Deans, Grad Students, and Undergrad students sexually harass me throughout my career- up through my own professorship.",Man,Other,Health Sciences,Multiple,Graduate Student,Graduate Student,Applied science
112,1228,1990-1994; sexual relationship with a member of my doctoral committee.,Graduate student. ,Graduate Student. ,Tenured Assistant Professor; member of doctoral exam and dissertation committee. ,Female,Female,Music;Music History,Research Institute,Graduate Student,Graduate Student,Humanities
113,402,"The first time I was an undergraduate English major at the University of Oklahoma (professor invited me to private office hours, touched my leg, commented on my body). It happened again when I was a student worker in the Library (custodian stalked me) and then as an English Grad student at the University of Idaho (faculty member in my department put his hand between my legs at a party, faculty member in my field (one of two) repeatedly pursued me, touched me, cornered me - this last one is the one I'll write about here. ",Graduate Student,Graduate Student,Tenured Faculty in my field of study,Male,Male,English,Research Institute,Graduate Student,Faculty,Humanities
114,2132,"At 2010 conference in shared hotel room with cohort, white, male phd candidate put unwanted penis in WoC phd candidate's hand and then on body, other colleagues just laughed and shrugged. White, male phd candidates have inappropriate sexual relations with undergraduate female students. White, male phd candidates and faculty have inappropriate sexual relations with in field study subjects and community liaisons, some known to be underage. ","4th yr PhD candidate, ABD","4Th Yr Phd Candidate, Abd","PhD candidates, tenured profs",Male,Male,Sociology;Asian Studies,Research Institute,Graduate Student,Graduate Student,Humanities
115,2362,"When I met with the chair from my department in December 2013 he was very nice to begin with. After his admin left for the day from outside his office we made progress on our work. I said it was very long day and neck hurt so then he started to massage neck. At first I thought is was nice then he kept going too long and it was starting to make me squick. When I heard him sniffing my hair I felt nausea with panic. His hands came down on on my chest and tried to touch my breasts. I had to pretend phone rang and then ran out. He told me I had to come back later, but I said I was sick and never returned.",Undergraduate in major,Undergraduate In Major,Department chair of CS,Man,Other,Computer Science,Elite Institution,Graduate Student,Chair/Dean/Head,Formal sciences
116,2421,"Sexual comments made by department chair and senior male professors about visitors and colleagues (even in writing in emails) and gender-based critiques during reviews and after teaching observations (not ""warm"" enough; not ""enchanting"" enough; ""dull content but nice smile""; repeatedly called ""girlfriend"" by a senior prof; repeated instances of gender-based bullying and hostile treatment not experienced by junior male peers)",Assistant Prof (myself and two other women who experienced this treatment),Assistant Prof (myself and two other women who experienced this treatment),Department Chair and senior professor,Man,Other,English,Research Institute,Faculty,Graduate Student,Humanities
117,2260,Disparaging sexual comments by senior academic made in public social events ,Graduate student,Graduate Student,Reader in my department (not my supervisor),Man,Other,English,Research Institute,Graduate Student,Faculty,Humanities
118,2365,"(1) About a decade and a half ago a number of female students started to come to my office asking how to make sense of the fact that two of our male faculty students (one full, another assistant TT), were dating graduate students. I was one of a handful of women tenured in my department. I brought up the incident with my chair and he appointed me, together with two other colleagues (both of them my seniors, one male and one female), to deal with this. we had meetings with grad students, discussions, meetings. another female grad. student came to me confidentially to complain about another male senior faculty member dating graduate students.  i made a big stink about it in the department and as a result i was identified as a bully, a McCarthy-like figure, and someone to avoid. One single person, another woman full professor (she was not on the committee appointed to deal with this) defended me publicly. other women kept coming into my office and virtually holding my hand as to how awful it was that i had to deal with this. 

(2) a prospective female faculty member was repeatedly disrespected by senior faculty members, who refused to refer to this candidate as ""Dr."" and instead calling her ""Ms."" in the documentation forwarded to the department and discussions in the department. The other candidates, all of whom were male, were just ""Dr."" One senior male faculty member insinuated in this and other ways that were not about the substance of her work that this person was not qualified for a position in our department.  I called him on it in a department meeting, he stopped, but there was no other senior colleague in the department who stood up for this person publicly.  I again got some private ""thank you's"", but that was the end of the discussion.

(3) a senior female colleague has told female students directly that if they get pregnant, they need to have an abortion. she also let another male senior colleague know that she considered no longer writing letters for a female grad student when that person had a child.
",associate/full professor,Associate/Full Professor,"department colleagues, male and female, same rank and senior to me",male (1 and 2) and female (3),Other,Humanities,Research Institute,Faculty,Graduate Student,Humanities
119,1525,"As a graduate student in a master's program at a large state school in the South, I was assigned as the GA for a large general education literature course (225 students). The professor maintained all of the grades in a program on his home computer. (This was in 1987, so prior to networked computing or even commonly available on-campus computing.) 2-3 times per week, I was expected to go to his home (which he shared, as roommates, with my major professor, with whom I took as many as 2-3 courses per semester) and enter attendance, quiz scores, exam grades, type up study guides, exams, etc. Because of my own class and work schedule, I often had to go in the late afternoon, when the two of them were already pretty soused. They generally left me alone, but once they tried to pressure me to let the work sit for a while and go out with them to happy hour. I declined and stayed behind to complete my work. As they left, my major professor said he ""had something for me"" and would ""see me later."" That night, the doorbell to my apartment rang at 2:00 in the morning. (I lived alone.) It was my professor, who was completely soused. I let him in. The something he had for me was a massive bag of weed, which he wanted to smoke with me. I declined. He sat down on the couch and rolled some joints. I sat at the other end of the couch while he got high. He stayed all night, occasionally dozing off, waking, talking moderately coherently about his marriage, his wife, other things. When the sun came up, I told him I thought he should go so that we could both get ready for class, which was at 9:00 a.m. He left.",Graduate student,Graduate Student,Tenured faculty member with whom I needed to take most of my courses for degree completion,Male,Male,English,Research Institute,Graduate Student,Faculty,Humanities
120,1576,"A fellow graduate student stalked and harassed me, asking me on various dates. I found out he had done this with every single female in the department! The faculty were aware but chose to take no action and decided to just sweep all our complaints under the rug. ",Graduate student,Graduate Student,Graduate student,Male,Male,Industrial and Organizational Psychology,Research Institute,Graduate Student,Graduate Student, Social sciences
121,1474,"At a large party thrown by a textbook publisher at a major conference. I older and more established scholar (woman) I had politely rebuffed the day prior came up to me, interrupted my conservation, grabbed my penis through my pants, and made a loud comment about its size. I know she her posting dozens of #MeToo and #BelieveWomen things, and it really makes me feel like this whole movement is grossly disingenuous. ",Graduate Student,Graduate Student,"Professor, tenure track. Not a huge name but well-respected enough to ruin my career with anonymous smears. ",Female,Female,English,Multiple,Graduate Student,Faculty,Humanities
122,1950,I was sexually assaulted by a colleague during a celebration,PhD candidate,Phd Candidate,Recent PhD/direct colleague,Male,Male,Archaeology,Research Institute,Graduate Student,Graduate Student,Natural sciences
123,2366,"I was in my second year of my PhD program and I was raped by the postdoc in my lab. We were off-campus at the time of the incident. I became pregnant as a result, and terminated the pregnancy. When the postdoc learned this he attempted to physically assault me at a lab get-together, but was prevented from doing so when two lab technicians physically restrained him so that I could leave. The postdoc began stalking me - waiting outside my apartment, hacking into my email, and sabotaging my lab work.",2nd year PhD student,2Nd Year Phd Student,Postdoc in the same lab,Man,Other,Immunology & Infectious Diseases,Research Institute,Graduate Student,Graduate Student,Applied science
124,279,"1989. The professor, who was directing my senior thesis, called me into his office and told me stories of his friends sexual exploits, told me I was “pure” and “sensitive,” showed up at my apartment with a case of beer, reminded me that he was grading my senior thesis, workshopped my story when I wasn’t present in workshop, told me that when he arrived he received a “list” of students to pay attention to and that I was on this list, had a poster for Playboy’s fiction contest on his door and pointed to it suggestively and said, “You should submit.” A lot of other flirtatious passive-aggressive stuff happened that I no longer remember. He was very confident in his “mentoring” of me.",Senior undergraduate,Senior Undergraduate,Visiting professor,Male,Male,Fiction,Research Institute,Graduate Student,Faculty,Humanities
125,1165,I was asked out by a colleague in my division on the first day of a new job as a professor. He later followed up with an email and talked about how a bedroom should only be used for sex and sleep (when I had mentioned I had had trouble sleeping-- anxiety over annual review).,new assistant professor,New Assistant Professor,"3 years or so in, assistant professor",Male,Male,English,Regional College,Faculty,Faculty,Humanities
126,860,"Professor in my department approached me and a female graduate student and suggested that we ""act more like men"" in his class and beyond to ensure we'd be successful in academia. Implied that we needed to be more assertive, speak louder, and defend our viewpoint ""even if we think it is probably wrong"" because that is what a man would do and that is how to be successful as a scientist. The conversation continued for about 30 minutes, and at one point when my fellow student was visibly upset he said he was going to leave because he could tell things were ""getting emotional."" He came back later after speaking to his wife just to tell us that he still thought his advice was good. After a few days and a meeting with the department chair, he emailed us to apologize.",PhD student,Phd Student,Professor (tenured) at my university,Male,Male,Ecology,Elite Institution,Graduate Student,Faculty,Natural sciences
127,1373,"In 1994 I was a sophomore at a junior college studying music. A teacher who I had had the previous semester started coming into my practice room and sitting very close to me on the piano bench, telling me how talented I was. One day he invited me on a hike. I did not know how to say no, so I went. On the hike he very suddenly turned to me and kissed me, sticking his tongue in my mouth. I pulled away and walked down an embankment and sat on a log. I wanted to get away, but I was afraid of making him angry. I didn't know what to do. He followed me and sat down next to me and kissed me again, simultaneously grabbing me between the legs and then said ""I can feel how wet you are for me"". I jumped up and demanded he take me back to campus. He was angry and stormed past me. He took me back, and never spoke to me again. I avoided the music department for the rest of the semester, then transferred out. This was hard, I was studying music and there all the time. I lived in fear of running into him, or of him coming into my practice room.",Undergraduate sophomore at community college,Undergraduate sophomore at community college,"He was a teacher in my department, I had him the semester previous.",Male,Male,Music,Regional College,Graduate Student,Faculty,Humanities
128,1123,"I was attending a week-long academic event I had helped organize that was held in conjunction with an incredibly large national event in 2016. We invited [redacted] to be our keynote speaker for this event, and I was incredibly excited to talk to him about his work since I respect it so much. The first day I met him, I was excitedly talking about a new book that had just come out, and how it intersected with his work and my own when he interrupted me and asked ""Do you have a partner that helps you with this?"" I was confused and hurt, and responded ""um, absolutely not. I do all of my own work."" He replied ""I'm trying to ask if you're single or not, that's all."" I didn't know what to do since I was shocked for several reasons: one being that he is very public about his marriage and his children, and two, because I was caught off guard. This was the first of many incidents that week with him. I kept trying to keep my other male-identified friends around me, but they also did not understand what the big deal was. I told the group at one point ""[redacted] keeps trying to sleep with me,"" and my ""friend"" said ""awesome, you should do it!"" I was heartbroken, because once again, they didn't understand what it's like to never be asked about your work, but instead treated like someone who is just there to have sex with. On the last night of the event, [redacted] text messaged me on my phone (this is how I found out one of my male friends gave him my number), showed up at the bar we were at, bought me a drink (which I did not drink), and told his ride to go on home without him because I would take him to where he was staying. He lied to me and told me he was getting divorced. I told my friends I didn't want him in my car, and the other event organizer said ""god dammit just take him to xxx's house."" So, that man's friend rode in the front seat of my car while Lester Spense literally pouted in my backseat because it was finally clear to him that I would not be sleeping with him. He continued to text me for two weeks after this event.    ",Undergrad,Undergrad,"Tenured Professor, chair of Media and Society Department",Male,Male,Media Studies,Regional College,Graduate Student,Chair/Dean/Head,Humanities
129,1146,"On my second day of class in my first year of seminary a professor invited me into his office after class. He asked me a series of personal questions under the guise of offering spiritual direction. He asked explicitly about my divorce and current marital status, then raised his eyebrows and informed me that I certainly could be remarried by now. His class lectures frequently revolved around sex, which was unusual for a class in Christian Church History. He would say inappropriate things to the female students. One day he asked about what we think when a ‘hunk’ walks by. He would also make objectifying statements about women. When I complained about it he would tell me that some feminist theologians think that we need to be talking about push up bras and sexuality. He never respected me as a theologian and made clear his amusement of me, particularly when a male classmate made a disparaging remark towards me. My classmates look up to him and he has a good reputation in the community as a pastor. He claims to be a women’s advocate. I doubted my own experiences until he finally commented on my “slinky dress,” (I was wearing a modest sleeveless blouse behind a podium) in a photo of me at a public speaking event at a local  church. He also made fun of a mutual friend and colleague because I had expressed admiration for him as a chaplain (which is the field I’m preparing for.) He would encourage us to speak up and then remind us that the faculty have so much power over grades, and professional/academic recommendations.
",First year master's student,First Year Master'S Student,Professor of Church History and Formation (and Pastor with many community connections),Male,Male,Religion,Other Type of School,Graduate Student,Graduate Student,Humanities
130,1402,"I had spent a fair amount of time (a couple of hours) speaking with the chair of a different department at a social event at a university faculty retreat. I had no sexual or romantic interest in him and I made that clear by verbally telling him so at one point in the evening when I felt he crossed a line when he stated that he and I both seemed to have unmet needs. He backed off immediately so I let it go, especially since I believe he had been intoxicated at the time. I am not one to hold a grudge so we became Facebook friends, and that friendship stayed well within what I felt were appropriate boundaries: no more unwelcome advances from him, just mundane liking and commenting on each other's posts, and some good-natured trash talk about sports. Then a few months later our Dean asked me to take on additional responsibilities regarding program level assessment within the college, since that is an interest of mine. In addition to having me advise [the dean] on assessment related matters, she also made me available to the chairs of all the departments in the college so that they could consult with me on implementing best practices for assessing student learning outcomes in their respective programs. The individual in question sent me a private Facebook message telling me that the dean ""gave"" me to him and said that that I have to do whatever he said, and he then suggested that we meet up at the airport Holiday Inn every Friday night to ""talk assessment."" This disturbed me quite a bit, but because I didn't want to make waves I chose to pretend I didn't understand his implication and answered him in earnest that I would be willing to meet in the library with other staff members to talk about assessing his program. He responded by saying that he actually had no interest in talking about assessment and really just wanted to hang out with me, and that regardless of my answer he would still write a favorable letter on my behalf for my upcoming third-year review. This last part was particularly upsetting, because while I knew that I had nothing to fear about my third year review, I felt intimidated and disgusted that he felt so free to imply that he had any authority over my third year review and would dare to link that to his holiday inn invitation. At that point I stopped responding and deleted him as a friend. About a week later he emailed me to say that he had all but forgotten that exchange but just realized that it might have rubbed me the wrong way and that if it did he apologized because he had been drinking, he didn't mean anything inappropriate, and that he hoped we could still be friends. I responded saying that I appreciated his apology, but that I did not feel comfortable interacting with him in any way beyond the most professional capacity. I also told him that I would give him the benefit of the doubt and that I would not be discussing the incident with human resources. I said that last part mostly to make it crystal clear to him that I would be well within my rights to do so, my hope being that he would consider the severity of his actions and resolve to refrain from behavior like that in the future with other colleagues.",My third year as assistant professor,My third year as assistant professor,Full professor at the University and chair of his department,Male,Male,Counseling,Regional College,Undergraduate Student,Chair/Dean/Head, Social sciences
131,1408,A colleague made suggestive comments about my appearance in front of a large audience.,Assistant Professor,Assistant Professor,"Tenured, very senior",Male,Male,Humanities,Research Institute,Faculty,Graduate Student,Humanities
132,290,"Male professor made several comments over the course of the semester about women being intellectually inferior. On one of my assignments, his comment was, “Your writing is lively and engaging, too bad you don’t know how to think.” Near the end of the semester, I had to give a presentation for the class. The screen wasn’t lowered completely when I began to speak, so he interrupted me, and told me to fix it. I walked over toward him and had to bend over quite low in my nice presentation dress to yank the screen the rest of the way down. He said, “Oh, I wish I could get women to do that more often.” I didn’t see his gesture, but apparently he was swooning over my rear end in front of the (almost entirely male) rest of the class.",First year doctoral student.,First Year Doctoral Student.,"Full professor, very senior. This was also a crucial course; doctoral theory and methods. If I didn’t do well, my status would be jeopardized.",Male,Male,English,Regional College,Graduate Student,Graduate Student,Humanities
133,2216,"In 2004 at the AAG (large disciplinary conference) a professor (not sure of rank, but more than twice my age) cornered me at my poster to tell me his sexual fetishes. ",Undergraduate,Undergraduate,"Same discipline, far more senior, but not in a position of authority.",Male,Male,Geography,Multiple,Graduate Student,Graduate Student, Social sciences
134,598,"A fellow student told me in a class that my work (which was about rape and rape culture) shouldn't be about those things. He proceeded to also tell me privately that I should avoid being seen as a ""man-hater"" or a misandrist, and should explore other themes in my work. Later, he described to me the ways in which my work was successful as though my work didn't involve any intention or craft on my part--as though I'd accidentally gotten a few things right. He is 10+ years older than me. He also attempted to speak poorly about me to my (male) partner.",Graduate student,Graduate Student,Graduate student,Male,Male,Creative Writing,Research Institute,Graduate Student,Graduate Student,Humanities
135,2176,Gender discrimination / Extreme harassment / Physically assaulted while disabled in front of students / Disability harassment,Assistant Professor,Assistant Professor,Chair,Male,Male,History,Other Type of School,Faculty,Chair/Dean/Head,Humanities
136,160,"A graduate student peer told me that a faculty member commented to him about my body (and specifically, my ass)",first year graduate student,First Year Graduate Student,faculty member in my department,Male,Male,Psychology,Research Institute,Graduate Student,Faculty, Social sciences
137,2262,"Both instances occurred at a large regional conference for our field within the last five years. This professor had been my undergraduate advisor and mentor (and chair of my undergrad thesis). The first instance occurred during my first semester as a graduate student at a different university. Two female friends of mine (who were still students at the University where the professor taught) and I were hanging out with the professor and a few other (male) professors and former students of his from different institutions at the hotel bar. He was buying my friends and I drinks and had clearly had a few himself before we showed up. Pretty soon the other people we were with left for the night and it was just my two friends and I with the professor drinking and catching up. Pretty soon the conversation turned sexual, with the advances very pointedly directed at me. There was no touching (this time), but the comments were very sexual, and he even insinuated that I should go up to his room with him instead of with my two friends who I was rooming with. It was completely unexpected since this professor never made any remotely sexual passes at me while I was his student. None of us knew how to react except to laugh it off. The next day he approached me and apologized ""if"" he had been inappropriate the night before and blamed it on the alcohol. The last night of the conference we ended up outside the hotel smoking with a group of maybe 10-15 professors and grad students from various universities. He was very drunk again and came up to drunkenly apologize again, but insisted that he hold my hand while doing so. After this conference I began to doubt myself and question if the A's I earned in his classes, the letters of recommendation he wrote, and the research opportunities I had with him were only given to me because he had sexual/romantic feelings for me and not because of my merit as a scholar. Two years later at the same conference I confronted him about the incident (I had seen him a few times since, but it had been kind of awkward and I tried to keep my distance). We had both been drinking, but him especially. He told me that he ""loved me in many ways"" but that he would never give me recommendations or opportunities I didn't deserve based on my abilities. I believed him and I felt that we had reached some sort of resolution with the whole thing. Then, a bit later that night he went to two female friends I had been with during the first incident and propositioned them to come up to his room with him to keep him company. That sense of resolution immediately went out the window. After the conference he contacted me to apologize. I insisted that he also reach out to my two friends and apologize to them, which he did. I haven't seen him much since, and I think things will always be a little awkward between us. ","Graduate student, then professional working in private sector","Graduate student, then professional working in private sector","Full professor and my advisor at the University where I got my B.A. My research area was very small and specific, and he had high standing in that group of researchers.",Man,Other,Anthropology,Multiple,Graduate Student,Graduate Student, Social sciences
138,415,"I was told by a professor, when discussing my final paper for his class, that he didn't want to fail me because I'm ""too pretty"". I got an A, and I'm still not sure if it was because of my paper or my appearance.",Undergrad student,Undergrad Student,Professor,Male,Male,Psychology;Jewish Studies,Research Institute,Graduate Student,Faculty,Humanities
139,2150,"My PhD advisor would often sit very close to me when were were discussing my work in front of my computer. He would sit right next to me and put his hand on my upper thigh. It bothered me a lot but since he was my superior and the head of department at the time, I was too scared to say anything. It happened two more times before I learnt to move as far away from his as possible when looking at at the same computer together. Later, another female PhD student told me of how traumatized she was when our advisor did it to her. She said she felt dirty and and shamed. I regret to say I brushed it off since I learnt to not be anywhere near him in meetings but it's bothered me ever since. I did ask a male PhD student about it and he also said our advisor did it to him too and his response was just to move our advisor's hand off of his thigh every time he did it (which was more than once). I wish I was brave enough to have done something about it at the time. ",Phd Student,Phd Student,PhD Advisor,Male,Male,Computer Science,Elite Institution,Graduate Student,Graduate Student,Formal sciences
140,628,"A professor interrupted class to go on a 30 minute+ rant about how he didn't see himself as part of the patriarchy and felt that he'd been unfairly maligned. This was not prompted by any personal accusation or anything directed toward him specifically. The class had been discussing gendered violence in a very professional way. Female students attempted to respond to his concerns and calm him down, this took up a significant portion of class time and was upsetting. ",Graduate student,Graduate Student,Tenured professor,Male,Male,English,Research Institute,Graduate Student,Faculty,Humanities
141,672,I was sexually harassed by my direct boss for 3 years.,adjunct instructor,Adjunct Instructor,program director,Male,Male,Law,Other Type of School,Faculty,Chair/Dean/Head,Humanities
142,1075,"As I was completing my MA, my advisor became increasingly touchy feely. He would place his hands on my hips, my waist, my shoulders when we were in his office. I did my best to dance away. In celebration of my MA defense, he took me to a local restaurant, where he kissed me on the lips. That evening, I emailed him to say that I had not consented to the kiss and did not want it to happen again. He admitted to it and replied that it was an ""unintended gesture."" But it was clearly planned, as he knew that I had left my husband mere weeks before and that I was in a seriously vulnerable position. ",Just completed MA,Just Completed Ma,Graduate advisor ,Male,Male,History,Research Institute,Graduate Student,Graduate Student,Humanities
143,956,"At UCLA when I was teaching as a visiting instructor and then a graduate student  from 2006 to 2008 there were two senior professor who sexually harassed me. None of them is the professor accused in the recent Title IX case involving a History professor. One of the professors professed his love for me and was constantly stalking me as if to casually run into me and have an opportunity to strike a conversation and/or invite me for a date. He was notorious for pursuing graduate students in his department and no-one bat an eye when they saw him harassing me. He was a senior professor and my situation back them was typically quite vulnerable, especially when I became an international graduate student and had enormous sums to pay for my education. He helped me learn about fellowships and may have put in good word so that I won some of those, which put me in the delicate position of having to put up with his advances. The other professor, from my graduate program, would call me to his office regularly to theoretically discuss class work. In reality, he took that opportunity to harass me. He'd shut the door immediately after I would come in and then force a conversation about his youth and how much he'd like me, saying things like ""Had I known you when I was young..."" At one point he insisted on putting a piece of candy (from his native country) directly on my mouth, which I resisted. I wasn't familiar with that move, but as I saw it had clear sexual connotations. ","Visiting instructor first, then graduate student.","Visiting instructor first, then graduate student.",Senior faculty,Male,Male,History,Elite Institution,Graduate Student,Graduate Student,Humanities
144,1852,"While I was in the PhD program.  A research scientist in our lab would come into our office and give me back rubs and would talk nearly constantly to me about sex.   (Example:  How long should a woman hold her urine prior to having sex if she wants to achieve orgasm?)  If the neck of my shirt was open, he would sneak his hands under the back of my shirt and rub my bare skin.  When I would ask him to stop rubbing my back, he would rub the arms and back of my chair.  It's hard to describe how creepy even this was--this person talking to me about sex every day and rubbing my chair.  I went through phases where I just let it happen because I was tired of trying to push back.  When we were in group events in the lab, he followed me everywhere, tried to make himself part of every conversation I was in.  I felt like he was trying to assert that I was somehow ""his"".  I also went through a phase where I just did not speak to him, just completely stopped--but then other people asked what was wrong with me.  It never progressed further (thank god) because I did everything I could to avoid him, but I felt ashamed, targeted in a way that other people weren't, and powerless anyway.",Graduate student,Graduate Student,Research Scientist in the laboratory,Male,Male,Computer Science,Elite Institution,Graduate Student,Faculty,Formal sciences
145,1949,"The director of an organization provided the data I needed for my senior thesis would only meet with me after everyone in his building had left for the day and would insist on hugging me - I'm not huge on being touched anyhow, but the way that he did it was especially inappropriate, especially considering the power imbalance. At the time I was confused by what was happening and, after three encounters I stopped being available to meet and, essentially, ghosted the individual.","Undergraduate, Junior","Undergraduate, Junior","Friend of advisor, Director of organization, senior in the field",Male,Male,Archaeology,Research Institute,Graduate Student,Graduate Student,Natural sciences
146,1844,"A faculty member (not in my program but very highly regarded in my sub-field) was assigned to be a mentor to me by a professional association while I transitioned from undergrad to grad school. They ""accidentally"" emailed me dozens of BDSM porn images. Their follow up email was ""oops, that wasn't meant for you. Unless you're into that sort of thing"". I was afraid to even tell anyone I knew because everyone else seems to love dealing with him. I avoided him for years after. I've been afraid to mention it to anyone because it's a small sub-field and everyone seems to love dealing with him despite a history of this kind of behavior. ",Undergrad transitioning into graduate school,Undergrad transitioning into graduate school,early career mentor,Male,Male,Political Science,Multiple,Graduate Student,Staff, Social sciences
147,1499,I overheard multiple female peers talking about a professor who would give out a higher grade in return for flirtation/dates/other favours (no explicit details were mentioned but it was not difficult to deduce what was meant).,Student (end of first year & throughout second year),Student (end of first year & throughout second year),Professor,Male,Male,English,Other Type of School,Undergraduate Student,Faculty,Humanities
148,1277,"I witnessed a female undergraduate being verbally and physically harassed and demeaned in public with no regard for the student, myself or the female guest in the room who were trying to protect her",visiting assistant professor,Visiting Assistant Professor,tenured male professor in the department,Male,Male,Art,Elite Institution,Faculty,Graduate Student,Humanities
149,1384,"professor groped my body in two bars in one night before finals were over during the first semester of my phd at the same time that he groped and forcibly kissed my colleague and friend, another first-year phd. in full view of other colleagues of ours. ",new phd student/his student,New Phd Student/His Student,my professor,Male,Male,English,Research Institute,Graduate Student,Faculty,Humanities
150,234,"Summer 2014 at a two-week workshop for grad students working on [a specific period / subtopic of history], with approx ten grad students (equal numbers of m and f) and multiple faculty presenters / mentors (of which approx 85% male). One day, the students decided to get happy hour beers, we invited the faculty who were around that day. I invited one of them, I just happened to see him. He bought me a beer (like fine, he gets paid at a fancy school, I am a student), after a while and much staring at me he kinda cornered me and suggested we go back to his hotel. I didn't really answer, and kinda walked off, and the someone else came over. The guy them announced he was leaving and left. About fifteen mins later he came back and gave us all his card, and he told me he'd been waiting outside because i was going to follow him. He left again. I didn't leave but told some of the other women, we left all together at some point. He was gone the next day, but then emailed the administrator of the workshop to get my email address, sent me a semi creepy email and then mailed a copy of his book, signed with a personal message to my department. I left the book on my stoop. ",2nd year grad student. ,2Nd Year Grad Student. ,"Full professor at fancy university. In the specific circumstances, faculty mentor type person at a grad student training workshop. He was previously somehow a part of the (second, W) Bush administration. ",Male,Male,History;Political Science,Multiple,Graduate Student,Graduate Student,Humanities
151,2258,"In 2011, I was tasked with observing an adjunct's class in order to evaluate her teaching. I got there a couple minutes late and slipped in the back, taking a seat amongst the students. Because of my late and discrete arrival, most of the students were unaware a professor was sitting amongst them. During the lecture, I found myself distracted by the laptop screen of a student in the next row and one seat up. He was perusing a website of nothing but photos of scantily clad female models in bathing suits, lingerie, and less. At the break, I asked for his name, told him I was a professor, told him that what he was doing was inappropriate, and demanded that he knock it off. He did. After the class, I informed the professor, then my department chair, who encouraged me to follow up with other administrative offices. The three of us agreed that this was inappropriate classroom behavior. However, convincing other University officials of that proved impossible. I spoke with an administrator in the Dean of Students office who accused me of ""getting emotional"" and refused to take the issue seriously. He agreed to speak with the student, but I actually asked him not to. I realized that having someone who didn't think this was an issue and who couldn't refrain from undermining me would only make the situation worse. I also spoke with the head of our Title IX/EEOC office, who incidentally moved on to George Washington University and, according to the Washington Post, is now getting sued for not addressing a harassment complaint. That guy said there was no policy that prevented the student from doing what he was doing. He also was solely concerned about the University's liability, not amending the student's behavior, not on fixing University policy, and not the effect on the other students in the class. As in, he literally didn't care about the actual hostile environment created by the student's porn browsing habit, just that I had reported it as required! (The class was overwhelmingly male. How are female students supposed to feel comfortable participating in class if they have to watch their male peers look at porn?) I ended up dropping the whole thing in disgust. I later learned that other, more enlightened universities actually use this example in seminars about how to identify sexual harassment. What the student did was no different than putting a poster of a naked woman up in an office. He created a hostile work environment for every female student who could see his screen. But, getting the administrators at my University to see that proved impossible.",faculty,Faculty,"undergraduate student + 2 administrators, including the head of the office that deals with Title IX & EEOC issues",Man,Other,Humanities,Research Institute,Faculty,Graduate Student,Humanities
152,1256,"It's ongoing. Everyone told me this professor had a reputation of being skeevy, so I was cautious. He made his first year class (I was underage at the time) read and discuss plays regarding bestiality and sex. He drove a number of students out of the theatre department, and was forced onto sabbatical all last school year, we thought to give him time to find a new job. We had 4x as many majors declared during this year, so he clearly was not missed. This year he's back and has started making comments about my appearance and taking pictures of me without my permission.",I'm currently a junior getting my B.A. and it's an ongoing thing.,I'm currently a junior getting my B.A. and it's an ongoing thing.,"head of department, instructor of half of my classes",Male,Male,Theater,Regional College,Undergraduate Student,Chair/Dean/Head,Humanities
